user,time,text,photo
Raden Fatoni,2025-08-24T23:59:26.000Z,"@puanmaharani_ri
 segera perintahkan singkirkan beton di depan gerbang 
@DPR_RI
 karena rakyat mau datang dan pintu terbuka kan? Kalau tidak di buka berarti cuma omon2 doang #BubarkanDPRSontoloyo #BubarkanDPR #TangkapAdiliJokowi",https://pbs.twimg.com/profile_images/1896723811724050432/lOSxKmrp_normal.jpg
T_AndriSugiarto,2025-08-24T23:14:29.000Z,"BUBARKAN DPR | Bubarkan kelompok anjing2 tidak berguna...
Mereka diberi gaji/ fasilitas oleh rakyat, bukannya kerja malah joget2
Anjing2 itu tidak layak mewakili rakyat...!
#BubarkanDPR
#DhewanAnjingTidakBerguna",https://pbs.twimg.com/profile_images/1641175340658851841/SCTdV8Di_normal.jpg
PitDwijana,2025-08-24T23:10:41.000Z,#BubarkanDPRSontoloyo #BubarkanDPR,https://pbs.twimg.com/profile_images/1882935614896783360/-uu6Ste6_normal.png
JAKA _ SAMUDRA,2025-08-24T23:06:47.000Z,"Hari ini 
#BubarkanDPR 
#BubarkanDPR",https://pbs.twimg.com/profile_images/1878033067186749440/Eqz-Mge8_normal.jpg
BlekWeduz,2025-08-24T22:44:59.000Z," Let's Go!!! 
#MondayMotivation #BubarkanDPR #IndonesiaMemanggil 
#Senin",https://pbs.twimg.com/profile_images/1532923389866029056/jZ4Bayi5_normal.jpg
Farhan Muchtar,2025-08-24T22:36:15.000Z,"Lebih enak DPR dunk...
#BubarkanDPR",https://pbs.twimg.com/profile_images/1915999071/IMG00002-20120226-1432_normal.jpg
Kucing gering,2025-08-24T21:50:31.000Z,#BubarkanDPR,https://pbs.twimg.com/profile_images/1604551275793633280/A7OgBWe2_normal.jpg
BasMed,2025-08-24T19:06:38.000Z,#BubarkanDPR #TurunkanPraboqoGibran,https://pbs.twimg.com/profile_images/1764915620376924160/Qw_WIfCC_normal.png
DoomBlast,2025-08-24T18:39:03.000Z,#StopBayarPajak #BubarkanDPR,https://pbs.twimg.com/profile_images/1950874698641973248/60F0McIW_normal.jpg
bolang hercules,2025-08-24T18:06:25.000Z,"#BubarkanDPR...
uang untuk gaji DPR ,DPRD yang kerjanya cuma tidur, uang itu seharusnya buat bayar hutang negara, bukan buat gaji mereka...",https://pbs.twimg.com/profile_images/1962036041763966976/29E92hlH_normal.jpg
Selon Crigiz,2025-08-24T17:49:17.000Z,"•PEMILIH MUAK• melihat tingkah&polah sebagian besar klen selaku anggota •PARLEMEN•. 

•BUBARKAN• adalah sikap rakyat utk mengingatkan agar  •SADAR• terhadap sikap •PONGAH AROGAN• klen kepada •PEMILIH• klen. Paham klen tuyaa !!.
#BubarkanDPR",https://pbs.twimg.com/profile_images/1903445218755796992/bJOrrgzb_normal.jpg
Wilson Simarmata,2025-08-24T16:46:04.000Z,"DPR hanya memikirkan kesenangan dan kenyamanan pribadi dan gerombolan. 
#BubarkanDPR-RI",https://pbs.twimg.com/profile_images/1831625581718597633/lwI0cLp5_normal.jpg
Refublik Atheis Indonesia MazU,2025-08-24T16:33:02.000Z,"malingg...... malingggg.... maling.....

#BubarkanDPR",https://pbs.twimg.com/profile_images/1957261352919269376/sM5gyebd_normal.jpg
yudirm300,2025-08-24T16:18:46.000Z,#BubarkanDPR https://x.com/KangManto123/s/KangManto123/status/1959570158269456492…,https://pbs.twimg.com/profile_images/1949440331046354945/ouaf-9hz_normal.jpg
dit_aaa,2025-08-24T15:57:06.000Z,#bubarkandprri #BubarkanDPR,https://pbs.twimg.com/profile_images/1240613975307325441/AY2fEg1y_normal.jpg
Gemini akun ke 4,2025-08-24T15:48:50.000Z,"Besok Senin 25 Agustus katanya  ada acara geruduk DPR ?
Rektor blunder
#BubarkanDPRSontoloyo 
#BubarkanDPR 

Hanya pemanis",https://pbs.twimg.com/profile_images/1892816311396552709/nI7jfazK_normal.jpg
Daniel Soritua Nadeak,2025-08-24T15:45:43.000Z,"Semakin lama semakin tidak lagi menghargai rakyat. Rakyat hanya penonton. Mereka tidak memperjuangkan rakyat, tetapi memperjuangkan partai dan kepentingan ketumnya. 

#BubarkanDPR",https://pbs.twimg.com/profile_images/1872332635223265280/QW6esrwT_normal.jpg
Neo,2025-08-24T15:36:41.000Z,#BubarkanDPR,https://pbs.twimg.com/profile_images/1962881481061343232/LPwvttwy_normal.jpg
A,2025-08-24T15:33:18.000Z,"DPR itu apa sih
Dewan Permusuhan Rakyat?
Iyakan?

#BubarkanDPR",https://pbs.twimg.com/profile_images/1830285218835542017/2KwVHhgj_normal.jpg
Septian Maulana & Asty ,2025-08-24T15:31:28.000Z,"Gusdur Bangsa Ini Penakut Tidak Bisa Menindak Yang Salah 

Kalian Termasuk YANG Baru Sadar Gak Sih  Alm Gusdur Termasuk President Terbaik 

Sumber: METRO TV Archive

#presiden #gusdur #bubarkandpr #dpr #dprri",https://pbs.twimg.com/profile_images/1909237171942481920/0bRih5QI_normal.jpg
Xerathvox ,2025-08-24T15:26:43.000Z,"Laaah, kata mbak 
@puanmaharani_ri
 pintu mau dibuka lebar? Kok malah dibeton??? Ckckckck.. Hati hati rakyat tambah ngamuk loh.. 
#BubarkanDPRSontoloyo #BubarkanDPR",https://pbs.twimg.com/profile_images/1937922501759193088/qVcsjOxK_normal.jpg
Ahli Hisab,2025-08-24T15:00:10.000Z,"Hehehe

#BubarkanDPR",https://pbs.twimg.com/profile_images/1624388540284145666/1h8DlsME_normal.jpg
SENAM PAGI INDONESIA SERI D,2025-08-24T14:52:07.000Z,"DPR goblok jelas teramat sangat layak dibubarkan, karena sudah tidak lagi mewakili kepentingan rakyat!!!

#BubarkanDPR #BubarkanDPRRI #BubarkanDPRGoblok",https://pbs.twimg.com/profile_images/1802878765921669120/VOfyAIRy_normal.jpg
BERSIHKAN SAMPAH,2025-08-24T14:47:26.000Z,"Mereka (DPR) penjajah, yg telah merampas kemerdekaan Rakyat Indonesia. Ayo kita rebut kemerdekaan kita dari anggota2 DPR. #BUBARKANDPR",https://pbs.twimg.com/profile_images/1962286419831083008/AkvvGJ9Z_normal.jpg
Joey Sands,2025-08-24T14:44:04.000Z,Anjiir.. enak bet.. #BubarkanDPR,https://pbs.twimg.com/profile_images/1717854188603072512/63acWfL8_normal.jpg
aiksolna,2025-08-24T13:52:58.000Z,ngomongin bolanye tar dulu #bubarkandpr,https://pbs.twimg.com/profile_images/1962893727690784768/GZxrg-Tf_normal.jpg
"Hariyanto A. Choliq, S.H.",2025-08-24T13:51:52.000Z,"Utk semua yg disenayan. Jika ada rakyat kritik #BubarkanDPR bukan malah dibalas dgn ucapan kotor yg menghina rakyat, krn tdk mungkin rakyat dpt membubarkan, hrsnya mnjadi intropeksi diri, apakah sdh benar yg dilakukan. INGAT, klu rakyat MARAH tak terbendung.",https://pbs.twimg.com/profile_images/1962844020851245056/nL54gpQB_normal.jpg
yuda yudistira,2025-08-24T13:50:09.000Z,sudah waktunya #bubarkandpr #17an,https://pbs.twimg.com/profile_images/1962190622770802688/kCKhxNd5_normal.jpg
BatmanJawir,2025-08-24T13:46:04.000Z,"Bangsat gak sih disaat rakyat semua penghasilan dipajakin tp ternyata anggota 
@DPR_RI
 PPH ditanggung negara alias kita yg bayarin pajak mereka 
#BubarkanDPR 
#BubarkanDPRSontoloyo 
#bubarkandprri",https://pbs.twimg.com/profile_images/1581934612246237184/3131dI3l_normal.jpg
snowhat815,2025-08-24T13:35:43.000Z,#BubarkanDPR #demo25agustus,https://pbs.twimg.com/profile_images/1627859378178265088/6MoMFVen_normal.jpg
pengendalisupercub,2025-08-24T13:30:44.000Z,"#BubarkanDPR 
#BubarkanDPRSontoloyo
#dprbebannegara 
",https://pbs.twimg.com/profile_images/1620634926583513089/g7uNQlw__normal.jpg
wagiman,2025-08-24T13:27:56.000Z,"#BubarkanDPR 
#BubarkanDPR 
#BubarkanDPR",https://pbs.twimg.com/profile_images/1649430671159623681/KBFIjSxd_normal.jpg
Catering Bangunjiwo,2025-08-24T13:27:52.000Z,#BubarkanDPR,https://pbs.twimg.com/profile_images/1935593119497482240/9oTrri4i_normal.jpg
Agie,2025-08-24T13:24:08.000Z,#BubarkanDPR,https://pbs.twimg.com/profile_images/1871516954047180800/_A9KV2sZ_normal.jpg
𝐏𝐀𝐌 𝐒𝐖𝐀𝐊𝐀𝐑𝐒𝐀 ,2025-08-24T13:20:05.000Z,"Sangat setuju. #BubarkanDPR #BubarkanDPRSontoloyo 
@DPR_RI",https://pbs.twimg.com/profile_images/1701754106044678144/LTr6gOoK_normal.jpg
Oligarki 19,2025-08-24T13:16:08.000Z,#hukumMatiNoel #tangkapJokowi #bubarkanDPR,https://pbs.twimg.com/profile_images/1338135045463109635/eUcSijgu_normal.jpg
Qi Art,2025-08-24T13:11:57.000Z,"Selalu ingat apa kata Gus Dur 

Stay safe buat kalian yang berjuang. Maaf tak bisa ikut berjuang di depan, hanya bisa memberikan coretan pembakar semangat 

#art #illustration #conceptart #CLIPSTUDIOPAINT #demo25agustus #revolusi #BubarkanDPR #BakarLumbungnya",https://pbs.twimg.com/profile_images/1527630484569989120/NRZ1IUo6_normal.jpg
Abine FaFams,2025-08-24T13:06:27.000Z,"#BubarkanDPR mungkin solusi bangsa ini.
Digaji pake uang rakyat tp balasan ke rakyat malah nantangin, emang lg musim ya pejabat nantangin/ngelecehin rakyatnya 
@DPR_RI
 ??. #BubarkanDPR",https://pbs.twimg.com/profile_images/1883465646379515904/0wbgyJol_normal.jpg
